seq_no,kind,product_line,trigger_line,item_no,mo_nbr,mo_nbr_step,mo_lot_nbr,work_order,doc_nbr,tool_ver,process_id,route_seq,layer_id,tank_number,qrcode,out_qty,creator,create_date,Frequency_decE1Pump,Frequency_decE2Pump,Frequency_decE3Pump,Frequency_decE4Pump,Frequency_decE1Cycle,Frequency_decE3Cycle,Frequency_decGale,Frequency_decGale2,Frequency_decHotGale,Temperature_decD1,Temperature_decD2,Temperature_decNewLiquid,Temperature_decOverFlow4,Temperature_decE1,Temperature_decE2,Temperature_decE3,Temperature_decE4,Temperature_decS1,Temperature_decS2,Temperature_decPickling,Temperature_decHotGale,Temperature_decDAddVat,Temperature_decDStoreVat,Temperature_decEStoreVat,Temperature_decSAddVat,Temperature_decSPSVat,Temperature_decMAddVat,Temperature_decCoolingWater,ConstantPressure_decD1,ConstantPressure_decD2,ConstantPressure_decE1A,ConstantPressure_decE1B,ConstantPressure_decE2Up,ConstantPressure_decE2Down,ConstantPressure_decE3Up,ConstantPressure_decE3Down,ConstantPressure_decE4Up,ConstantPressure_decE4Down,ConstantPressure_decS1,ConstantPressure_decS2,Pressure_decD1UpSpray,Pressure_decD1DownSpray,Pressure_decD2UpSpray,Pressure_decD2DownSpray,Pressure_decNewLiquidUpSpray,Pressure_decNewLiquidDownSpray,Pressure_decOverFlow1UpSpray,Pressure_decOverFlow1DownSpray,Pressure_decOverFlow2UpSpray,Pressure_decOverFlow2DownSpray,Pressure_decOverFlow3UpSpray,Pressure_decOverFlow3DownSpray,Pressure_decOverFlow4UpSpray,Pressure_decOverFlow4DownSpray,Pressure_decOverFlow5UpSpray,Pressure_decOverFlow5DownSpray,Pressure_decOverFlow6UpSpray,Pressure_decOverFlow6DownSpray,Pressure_decOverFlow7UpSpray,Pressure_decOverFlow7DownSpray,Pressure_decOverFlow8UpSpray,Pressure_decOverFlow8DownSpray,Pressure_decOverFlow9UpSpray,Pressure_decOverFlow9DownSpray,Pressure_decE1AUpSpray,Pressure_decE1ADownSpray,Pressure_decE1BUpSpray,Pressure_decE1BDownSpray,Pressure_decPump1,Pressure_decPump2,Pressure_decPump3,Pressure_decPump4,Pressure_decStopWashingUpSpray,Pressure_decStopWashingDownSpray,Pressure_decS1UpSpray,Pressure_decS1DownSpray,Pressure_decS2UpSpray,Pressure_decS2DownSpray,Pressure_decPicklingUpSpray,Pressure_decPicklingDownSpray,Pressure_decPressureRinse1UpSpra,Pressure_decPressureRinse1DownSp,Pressure_decPressureRinse2UpSpra,Pressure_decPressureRinse2DownSp,Pressure_decPressureRinse3UpSpra,Pressure_decPressureRinse3DownSp,Pressure_decPressureRinse4UpSpra,Pressure_decPressureRinse4DownSp,Pressure_decPressureRinse5UpSpra,Pressure_decPressureRinse5DownSp,Pressure_decGale1,Pressure_decGale2,Pressure_decHotGale1,Pressure_decHotGale2,Pressure_decHotGale3,Pressure_decCoolingWater,Pressure_decTopWater,Pressure_decE2UpSpray,Pressure_decE2DownSpray,Pressure_decE3UpSpray,Pressure_decE3DownSpray,Pressure_decE4UpSpray,Pressure_decE4DownSpray,FlowRate_decD1,FlowRate_decD2,FlowRate_decE1A,FlowRate_decE1B,FlowRate_decE2Up,FlowRate_decE2Down,FlowRate_decE3Up,FlowRate_decE3Down,FlowRate_decE4Up,FlowRate_decE4Down,FlowRate_decE1Cycle,FlowRate_decE3Cycle,FlowRate_decOverFlow4,FlowRate_decOverFlow7,FlowRate_decOverFlow9,FlowRate_decPressureRinse5,PH_decD1,PH_decD2,PH_decOverFlow7,PH_decPressureRinse5
20250926145803415,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:06:08.766726,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.9,28.9,28.1,27.2,50.2,50.0,50.8,50.1,52.0,52.3,30.2,84.9,32.1,33.0,35.0,32.2,32.9,33.7,18.7,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.7,1.2,1.2,1.3,1.3,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.8,2.0,2.0,2.4,2.4,2.4,2.5,1.9,1.9,2.4,2.4,2.5,2.4,2.4,2.5,2.4,2.4,2.4,2.5,5.6,7.7,4.7,4.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.5,524.4,462.1,474.8,474.8,444.5,343.1,356.2,316.1,280.7,607.0,506.1,0.0,0.0,0.0,0.0,10.74,10.89,7.79,8.03
20250926145815570,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:06:20.921291,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.9,28.9,28.1,27.2,50.3,49.9,50.8,50.1,52.0,52.3,30.2,84.9,32.1,33.1,35.0,32.2,32.9,33.6,18.7,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.7,1.2,1.2,1.3,1.3,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.4,1.5,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.8,2.0,2.0,2.4,2.4,2.4,2.5,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.4,2.4,2.5,2.4,5.6,7.7,4.7,4.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.9,521.1,465.9,477.7,471.9,446.5,345.7,355.0,313.7,281.1,608.2,505.0,0.0,0.0,0.0,0.0,10.75,10.9,7.8,8.05
20250926145819670,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:06:25.010661,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.9,28.9,28.1,27.2,50.2,49.9,50.8,50.1,52.0,52.3,30.2,84.9,32.1,33.1,35.0,32.2,32.9,33.6,18.7,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.6,1.2,1.2,1.3,1.3,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.5,1.4,3.0,3.0,3.0,3.0,1.7,1.7,1.7,1.9,2.0,2.0,2.4,2.4,2.4,2.5,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.4,2.4,2.5,2.4,5.6,7.7,4.6,4.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,520.9,467.7,477.6,473.3,446.7,344.7,356.7,314.5,281.0,609.8,505.8,0.0,0.0,0.0,0.0,10.75,10.9,7.8,8.05
20250926145831878,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:06:37.270073,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.9,28.9,28.1,27.2,50.2,50.1,50.8,50.2,52.0,52.4,30.3,84.9,32.1,33.1,35.0,32.2,32.9,33.7,18.8,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.6,1.2,1.2,1.3,1.3,1.4,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.5,1.4,3.0,3.0,2.9,3.1,1.7,1.7,1.7,1.9,1.9,2.0,2.4,2.4,2.4,2.5,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,5.6,7.7,4.6,4.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.9,523.3,464.4,473.2,473.8,445.8,344.2,355.1,313.6,280.6,605.5,506.4,0.0,0.0,0.0,0.0,10.74,10.89,7.8,8.05
20250926145847575,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:06:52.922691,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.9,28.8,28.1,27.2,50.1,50.3,50.8,50.2,51.9,52.3,30.3,84.9,32.1,33.1,35.0,32.2,32.9,33.7,18.8,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.7,1.2,1.2,1.3,1.4,1.4,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.8,2.0,2.0,2.4,2.4,2.4,2.5,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.4,5.6,7.7,4.7,4.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,522.3,467.4,473.8,474.1,446.5,346.1,353.4,314.9,280.7,606.4,506.3,0.0,0.0,0.0,0.0,10.75,10.9,7.8,8.06
20250926145855687,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:07:01.036361,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.9,28.8,28.1,27.2,50.0,50.4,50.8,50.3,51.9,52.3,30.3,84.9,32.1,33.1,35.0,32.2,32.9,33.7,18.8,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.7,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,3.0,3.0,3.0,3.0,1.7,1.7,1.7,1.9,2.0,2.0,2.4,2.4,2.4,2.5,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.4,2.4,2.5,5.6,7.7,4.7,4.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.2,519.7,464.7,475.1,473.4,444.0,342.6,352.4,314.6,280.9,603.7,504.0,0.0,0.0,0.0,0.0,10.75,10.91,7.79,8.05
20250926145903889,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:07:09.23812,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.8,28.8,28.2,27.2,49.9,50.5,50.8,50.3,51.9,52.3,30.3,84.9,32.1,33.1,35.0,32.2,32.9,33.6,18.8,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.7,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,3.0,3.0,3.0,3.0,1.7,1.7,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.6,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.4,2.4,2.4,2.5,5.5,7.7,4.6,4.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.7,522.6,464.0,473.6,471.4,445.0,342.8,353.6,315.5,281.7,604.9,508.4,0.0,0.0,0.0,0.0,10.73,10.89,7.8,8.05
20250926145912019,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:07:17.377398,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.8,28.8,28.2,27.2,49.9,50.5,50.8,50.2,51.9,52.3,30.3,85.0,32.1,33.1,35.0,32.2,32.9,33.7,18.7,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.6,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.5,1.5,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,1.9,2.0,2.5,2.5,2.5,2.6,1.9,1.9,2.4,2.4,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,5.6,7.7,4.6,4.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.2,524.9,465.7,471.0,473.2,443.7,342.7,356.6,312.8,281.1,605.4,507.5,0.0,0.0,0.0,0.0,10.75,10.89,7.79,8.05
20250926145939977,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:07:45.329805,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.8,28.8,28.2,27.2,49.8,50.2,50.8,50.1,51.9,52.3,30.2,85.0,32.1,33.1,35.0,32.2,32.9,33.7,18.6,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.6,1.2,1.2,1.3,1.3,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,2.0,2.0,2.5,2.5,2.5,2.6,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.4,2.4,2.4,2.4,5.6,7.7,4.6,4.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.5,523.0,464.0,472.2,476.3,445.8,341.0,357.2,311.4,282.4,607.5,507.3,0.0,0.0,0.0,0.0,10.75,10.9,7.8,8.06
20250926145952147,,GL231262111,,04D6P0060002,MAO2590230,0,2,,,,,,,,,140.0,famAdmin,2025-09-26 15:07:57.492195,129.99,129.99,129.99,124.99,139.99,139.99,430.0,430.0,630.0,28.8,28.8,28.2,27.2,49.9,50.0,50.8,50.0,51.9,52.3,30.1,85.0,32.1,33.1,35.0,32.2,32.9,33.7,18.6,1.5,1.7,3.0,3.0,3.2,2.6,2.9,2.5,3.0,2.5,2.5,2.5,1.4,1.5,1.5,1.6,1.7,1.7,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.3,1.4,1.4,1.4,1.3,1.4,1.4,1.5,1.5,1.4,3.0,3.0,2.9,3.0,1.7,1.7,1.7,1.9,2.0,2.0,2.5,2.5,2.5,2.6,1.9,1.9,2.4,2.4,2.5,2.5,2.4,2.5,2.4,2.4,2.5,2.4,5.6,7.7,4.7,4.4,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.5,522.8,463.1,474.8,473.9,446.7,342.5,352.6,317.0,282.5,605.3,501.8,0.0,0.0,0.0,0.0,10.74,10.9,7.8,8.06
